fid,element_type,generator:method,generator:output:electricity,name,Address,X,Y
"17",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.9089079,50.033336
"18",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8918995,50.0298397
"19",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.9004655,50.0314215
"20",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.9025566,50.0372372
"21",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8914116,50.0354109
"22",node,wind_turbine,,Elektrownia wiatrowa,"Bobrówka,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8758283,50.047823
"23",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8840608,50.0446408
"24",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8920706,50.0459386
"25",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8744964,50.03148
"26",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8634737,50.0260206
"27",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8668346,50.0220826
"28",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8727272,50.0248221
"29",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.9006504,50.0407329
"30",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.91476,50.0332014
"31",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8847896,50.0384519
"32",node,wind_turbine,small_installation,,"Jasionka,gmina Parczew,Parczew County,Lublin Voivodeship",22.9148614,51.6645174
"33",node,wind_turbine,,,"Wierzbówka,gmina Parczew,Parczew County,Lublin Voivodeship",22.9095169,51.6623406
"34",node,wind_turbine,,,"Horodyszcze,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1607302,51.7645151
"35",node,wind_turbine,,,"N/A,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1614299,51.778212
"36",node,wind_turbine,,,"Dubica Górna,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1806386,51.7730683
"37",node,wind_turbine,,,"N/A,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1749608,51.7715703
"38",node,wind_turbine,,,"Horodyszcze,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1709059,51.7684799
"39",node,wind_turbine,,,"N/A,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1445686,51.7677911
"40",node,wind_turbine,,,"N/A,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1516449,51.7650394
"41",node,wind_turbine,,,"Polubicze Wiejskie Pierwsze,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1523678,51.7595598
"42",node,wind_turbine,,,"N/A,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.158656,51.757787
"43",node,wind_turbine,,,"Horodyszcze,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1662786,51.7622215
"44",node,wind_turbine,,,"Horodyszcze,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1778141,51.7662968
"45",node,wind_turbine,,,"Wygoda,gmina Wisznice,Biała Podlaska County,Lublin Voivodeship",23.1650137,51.7740005
"46",node,wind_turbine,"2,5 MW",,"Spiczki,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.233512,52.7102015
"47",node,wind_turbine,"2,5 MW",,"Spiczki,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2585793,52.7097164
"48",node,wind_turbine,"2,5 MW",,"Topczykały,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2471641,52.7051493
"49",node,wind_turbine,"2,5 MW",,"Topczykały,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2616617,52.7024399
"50",node,wind_turbine,"2,5 MW",,"Topczykały,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2699025,52.6989894
"51",node,wind_turbine,"2,5 MW",,"Topczykały,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2711187,52.7058063
"52",node,wind_turbine,"2,5 MW",,"Koszele,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2813552,52.7024136
"53",node,wind_turbine,"2,5 MW",,"Koszele,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2909198,52.6996812
"54",node,wind_turbine,"2,5 MW",,"Topczykały,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.2791018,52.694634
"55",node,wind_turbine,"2,5 MW",,"Orla,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.3614605,52.7171036
"56",node,wind_turbine,"2,5 MW",,"Orla,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.3624971,52.7125957
"57",node,wind_turbine,"2,5 MW",,"Orla,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.364323,52.7079335
"58",node,wind_turbine,"2,5 MW",,"Krywiatycze,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.365559,52.7028649
"59",node,wind_turbine,"2,5 MW",,"Krywiatycze,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.3681658,52.6985459
"60",node,wind_turbine,"2,5 MW",,"Krywiatycze,gmina Orla,Bielsk County,Podlaskie Voivodeship",23.3707674,52.6943203
"61",node,,,,"Augustowo,gmina Bielsk Podlaski,Bielsk County,Podlaskie Voivodeship",23.1542462,52.782024
"62",node,,,,"Augustowo,gmina Bielsk Podlaski,Bielsk County,Podlaskie Voivodeship",23.1441834,52.7817677
"63",node,,,,"Augustowo,gmina Bielsk Podlaski,Bielsk County,Podlaskie Voivodeship",23.1361367,52.7813196
"64",node,wind_turbine,,,"Wólka Pietkowska,gmina Wyszki,Bielsk County,Podlaskie Voivodeship",22.8974077,52.8630958
"65",node,wind_turbine,yes,,"Dobrzyniówka,gmina Zabłudów,Białystok County,Podlaskie Voivodeship",23.3680624,53.0518516
"66",node,wind_turbine,yes,,"Osmołowszczyzna,gmina Dąbrowa Białostocka,Sokółka County,Podlaskie Voivodeship",23.3162191,53.6689903
"67",node,wind_turbine,,,"Grodziszczany,gmina Dąbrowa Białostocka,Sokółka County,Podlaskie Voivodeship",23.3679528,53.6314064
"68",node,wind_turbine,"2,3 MW",,"Biała Woda,gmina Suwałki,Suwałki County,Podlaskie Voivodeship",22.8969439,54.1445765
"69",node,wind_turbine,,,"Rychtyn,gmina Jeleniewo,Suwałki County,Podlaskie Voivodeship",22.9700467,54.1849627
"70",node,wind_turbine,,,"Ostrów Południowy,gmina Krynki,Sokółka County,Podlaskie Voivodeship",23.679437,53.2545754
"71",node,wind_turbine,,,"Sielec,gmina Leśniowice,Chełm County,Lublin Voivodeship",23.5176573,51.0548176
"72",node,wind_turbine,,,"Mołodutyn,gmina Kamień,Chełm County,Lublin Voivodeship",23.5185354,51.0575467
"73",node,,,,"N/A,gmina Lubycza Królewska,Tomaszów Lubelski County,Lublin Voivodeship",23.5043037,50.3210042
"74",node,,,,"N/A,gmina Lubycza Królewska,Tomaszów Lubelski County,Lublin Voivodeship",23.5030557,50.3210448
"75",node,,,,"N/A,gmina Lubycza Królewska,Tomaszów Lubelski County,Lublin Voivodeship",23.5017847,50.3210964
"76",node,,,,"Dęby,gmina Lubycza Królewska,Tomaszów Lubelski County,Lublin Voivodeship",23.5003923,50.3211554
"77",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7276228,50.5971817
"78",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7253016,50.5998359
"79",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7250666,50.6031435
"80",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7242923,50.6064484
"81",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7245739,50.6093658
"82",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7381762,50.6114899
"83",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7374997,50.6170395
"84",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7474713,50.6173246
"85",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7507828,50.6102453
"86",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7422768,50.6046359
"87",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7400394,50.6008503
"88",node,wind_turbine,yes,,"Mikulin,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7223223,50.5856508
"89",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7417504,50.5935626
"90",node,wind_turbine,2 MW,,"Nabróż,gmina Łaszczów,Tomaszów Lubelski County,Lublin Voivodeship",23.7514391,50.5898145
"91",node,wind_turbine,2 MW,,"N/A,gmina Tyszowce,Tomaszów Lubelski County,Lublin Voivodeship",23.7397795,50.5980069
"92",node,wind_turbine,,,"Łubcze,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6635332,50.4566416
"93",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.625772,50.4666478
"94",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6254408,50.4606754
"95",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6251449,50.4634206
"96",node,wind_turbine,,,"Przeorsk,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5232097,50.4232393
"97",node,wind_turbine,,,"Przeorsk,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5235048,50.4259939
"98",node,wind_turbine,,,"Przeorsk,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5226626,50.4290388
"99",node,wind_turbine,,,"Przeorsk,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5217989,50.4316633
"100",node,wind_turbine,,,"Przeorsk,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5235073,50.42051
"101",node,,,,"Nowy Przeorsk,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.5281183,50.4388455
"102",node,,,,"Przewłoka,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.5299365,50.4425314
"103",node,,,,"Chorążanka,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5123839,50.4503413
"104",node,,,,"Chorążanka,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.5124195,50.4473371
"105",node,,,,"Ruda Wołoska,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.4919315,50.4390877
"106",node,,,,"Ruda Wołoska,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.4960671,50.4436061
"107",node,,,,"Majdan Górny,gmina Tomaszów Lubelski,Tomaszów Lubelski County,Lublin Voivodeship",23.4953874,50.4470964
"108",node,wind_turbine,,,"Nedeżów,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.5691608,50.4625417
"109",node,wind_turbine,,,"Jarczów-Kolonia Pierwsza,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.5673255,50.45897
"110",node,wind_turbine,,,"Nedeżów,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.5785092,50.455967
"111",node,wind_turbine,,,"Sowiniec,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.5926693,50.4588375
"112",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6412143,50.4677859
"113",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6417125,50.4650002
"114",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6425228,50.4603575
"115",node,wind_turbine,,,"Wierszczyca,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6100854,50.4604898
"116",node,wind_turbine,,,"Wierszczyca,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6104364,50.4577738
"117",node,wind_turbine,,,"Łubcze,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6434083,50.4572711
"118",node,wind_turbine,,,"Gródek-Kolonia,gmina Jarczów,Tomaszów Lubelski County,Lublin Voivodeship",23.6251536,50.4579377
"119",node,,,,"Zboiska,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.1074248,49.5196392
"120",node,,,,"Bukowsko,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0910836,49.4795797
"121",node,,,,"Bukowsko,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0847649,49.4806392
"122",node,,,,"Bukowsko,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.095296,49.4828463
"123",node,,,,"Bukowsko,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0951602,49.4875912
"124",node,,,,"Bukowsko,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0887056,49.4882753
"125",node,,,,"Bukowsko,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0837397,49.4885539
"126",node,,,,"Nowotaniec,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0575746,49.5047347
"127",node,,,,"Nowotaniec,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0567091,49.5089029
"128",node,,,,"Nowotaniec,gmina Bukowsko,Sanok County,Subcarpathian Voivodeship",22.0557901,49.5110666
"129",node,wind_turbine,,,"N/A,gmina Krasne,Rzeszów County,Subcarpathian Voivodeship",22.0697652,50.0685753
"130",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3011071,50.0679397
"131",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3032492,50.0647172
"132",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3057862,50.0582485
"133",node,wind_turbine,2.5 MW,,"Gać,gmina Gać,Przeworsk County,Subcarpathian Voivodeship",22.36416,50.0485833
"134",node,wind_turbine,2.5 MW,,"Gać,gmina Gać,Przeworsk County,Subcarpathian Voivodeship",22.3639011,50.0518599
"135",node,wind_turbine,2.5 MW,,"Gać,gmina Gać,Przeworsk County,Subcarpathian Voivodeship",22.3646885,50.0436233
"136",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3570221,50.0486359
"137",node,wind_turbine,2.5 MW,,"Gać,gmina Gać,Przeworsk County,Subcarpathian Voivodeship",22.355596,50.0375529
"138",node,wind_turbine,2.5 MW,,"Gać,gmina Gać,Przeworsk County,Subcarpathian Voivodeship",22.3620765,50.0383302
"139",node,wind_turbine,2.5 MW,,"Gać,gmina Gać,Przeworsk County,Subcarpathian Voivodeship",22.356765,50.0428702
"140",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2960976,50.0497435
"141",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2903269,50.0514
"142",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2932433,50.0449195
"143",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2871337,50.0469518
"144",node,wind_turbine,2.5 MW,,"Wysoka,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2744547,50.0342699
"145",node,wind_turbine,2.5 MW,,"Wysoka,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2772489,50.0378
"146",node,wind_turbine,2.5 MW,,"Wysoka,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2728678,50.0404418
"147",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2873106,50.0426044
"148",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2824765,50.0442057
"149",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.2854188,50.03931
"150",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3112431,50.0491191
"151",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.35718,50.0519124
"152",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3072423,50.0543616
"153",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.312557,50.0578794
"154",node,wind_turbine,2.5 MW,,"Sonina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.284636,50.0630011
"155",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3127878,50.0645667
"156",node,wind_turbine,2.5 MW,,"Kosina,gmina Łańcut,Łańcut County,Subcarpathian Voivodeship",22.3065737,50.0674203
"157",node,wind_turbine,,,"Radzięcin,gmina Frampol,Biłgoraj County,Lublin Voivodeship",22.6766347,50.6815281
"158",node,wind_turbine,,,"Stróża-Kolonia,gmina Kraśnik,Kraśnik County,Lublin Voivodeship",22.2991928,50.8823473
"159",node,wind_turbine,3.2 MW,,"Rudzienko-Kolonia,gmina Michów,Lubartów County,Lublin Voivodeship",22.2936199,51.5070878
"160",node,wind_turbine,3.2 MW,,"Michów,gmina Michów,Lubartów County,Lublin Voivodeship",22.2767381,51.5154693
"161",node,wind_turbine,3.2 MW,,"Rudzienko-Kolonia,gmina Michów,Lubartów County,Lublin Voivodeship",22.2846784,51.5162751
"162",node,wind_turbine,3.2 MW,,"Michów,gmina Michów,Lubartów County,Lublin Voivodeship",22.275185,51.5205209
"163",node,wind_turbine,3.2 MW,,"Michów,gmina Michów,Lubartów County,Lublin Voivodeship",22.2738554,51.5243154
"164",node,wind_turbine,3.2 MW,,"Michów,gmina Michów,Lubartów County,Lublin Voivodeship",22.2835304,51.5246102
"165",node,wind_turbine,3.2 MW,,"Michów,gmina Michów,Lubartów County,Lublin Voivodeship",22.2831158,51.5205929
"166",node,wind_turbine,3.2 MW,,"Rudzienko,gmina Michów,Lubartów County,Lublin Voivodeship",22.3162444,51.5012335
"167",node,wind_turbine,3.2 MW,,"Rudzienko-Kolonia,gmina Michów,Lubartów County,Lublin Voivodeship",22.3009708,51.5042544
"168",node,wind_turbine,3.2 MW,,"Ciotcza,gmina Abramów,Lubartów County,Lublin Voivodeship",22.3023266,51.5015517
"169",node,wind_turbine,3.2 MW,,"Elżbietów,gmina Michów,Lubartów County,Lublin Voivodeship",22.3419945,51.5051927
"170",node,wind_turbine,3.2 MW,,"Marcinów,gmina Abramów,Lubartów County,Lublin Voivodeship",22.3053065,51.484662
"171",node,wind_turbine,3.2 MW,,"Sosnówka,gmina Abramów,Lubartów County,Lublin Voivodeship",22.3248119,51.471265
"172",node,wind_turbine,3.2 MW,,"Trzciniec,gmina Michów,Lubartów County,Lublin Voivodeship",22.2844409,51.5014009
"173",node,wind_turbine,3.2 MW,,"Natalin,gmina Michów,Lubartów County,Lublin Voivodeship",22.2748713,51.5107351
"174",node,wind_turbine,3.2 MW,,"Michów,gmina Michów,Lubartów County,Lublin Voivodeship",22.2636955,51.5119249
"175",node,wind_turbine,,,"Wygnanka,gmina Kock,Lubartów County,Lublin Voivodeship",22.4093745,51.639867
"176",node,wind_turbine,2 MW,,"Czerwonka,gmina Sokołów Podlaski,Sokołów County,Masovian Voivodeship",22.1626339,52.4011891
"177",node,wind_turbine,2 MW,,"Bachorza,gmina Sokołów Podlaski,Sokołów County,Masovian Voivodeship",22.3064579,52.3867278
"178",node,wind_turbine,2 MW,,"Kupientyn,gmina Sabnie,Sokołów County,Masovian Voivodeship",22.2872507,52.457839
"179",node,wind_turbine,,,"N/A,gmina Sokołów Podlaski,Sokołów County,Masovian Voivodeship",22.2640779,52.4228078
"180",node,,,,"Nowe Gierałty,gmina Szepietowo,Wysokie Mazowieckie County,Podlaskie Voivodeship",22.5637264,52.8470278
"181",node,wind_turbine,,,"Dmochy-Glinki,gmina Czyżew,Wysokie Mazowieckie County,Podlaskie Voivodeship",22.3473842,52.826073
"182",node,wind_turbine,,,"Średnica-Jakubowięta,gmina Szepietowo,Wysokie Mazowieckie County,Podlaskie Voivodeship",22.54931,52.8849554
"183",node,wind_turbine,"2,3 MW",,"Kosiły,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.6141453,53.7029554
"184",node,wind_turbine,"2,3 MW",,"Kołaki,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5664365,53.7022904
"185",node,wind_turbine,"2,3 MW",,"Turczyn,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5745859,53.6911837
"186",node,wind_turbine,"2,3 MW",,"Turczyn,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5815647,53.6927695
"187",node,wind_turbine,"2,3 MW",,"Turczyn,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5802354,53.6960481
"188",node,wind_turbine,"2,3 MW",,"Kołaki,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5723527,53.6963456
"189",node,wind_turbine,"2,3 MW",,"Kołaki,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5731696,53.7004972
"190",node,wind_turbine,"2,3 MW",,"Kołaki,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5823661,53.7008662
"191",node,wind_turbine,"2,3 MW",,"Łazarze,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.5911935,53.6999887
"192",node,wind_turbine,"2,3 MW",,"Łazarze,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.598359,53.698419
"193",node,wind_turbine,"2,3 MW",,"Łazarze,gmina Rajgród,Grajewo County,Podlaskie Voivodeship",22.6029151,53.7040245
"194",node,wind_turbine,2.2 MW,G14,"Wojewodzin,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4140165,53.608116
"195",node,wind_turbine,2.2 MW,G15,"Wojewodzin,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4176815,53.612768
"196",node,wind_turbine,2.2 MW,G16,"Popowo,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4227293,53.6227079
"197",node,wind_turbine,2.2 MW,G17,"Wojewodzin,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4308465,53.6204584
"198",node,wind_turbine,2.2 MW,G18,"Wojewodzin,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4409114,53.6190593
"199",node,wind_turbine,2.2 MW,G24,"Wierzbowo,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4137154,53.6018024
"200",node,wind_turbine,2.2 MW,G13,"Wierzbowo,gmina Grajewo,Grajewo County,Podlaskie Voivodeship",22.4045212,53.5983789
"201",node,wind_turbine,2 MW,,"Piecki,gmina Filipów,Suwałki County,Podlaskie Voivodeship",22.7925229,54.1700005
"202",node,wind_turbine,2 MW,,"Taciewo,gmina Suwałki,Suwałki County,Podlaskie Voivodeship",22.7802786,54.1579113
"203",node,wind_turbine,2 MW,,"Taciewo,gmina Suwałki,Suwałki County,Podlaskie Voivodeship",22.7727717,54.1584071
"204",node,wind_turbine,2 MW,,"Taciewo,gmina Suwałki,Suwałki County,Podlaskie Voivodeship",22.7867189,54.152181
"205",node,wind_turbine,2 MW,,"Smolenka,gmina Filipów,Suwałki County,Podlaskie Voivodeship",22.7749523,54.1502124
"206",node,wind_turbine,2 MW,,"Morgi,gmina Przerośl,Suwałki County,Podlaskie Voivodeship",22.7766123,54.1903895
"207",node,wind_turbine,2 MW,,"Śmieciuchówka,gmina Przerośl,Suwałki County,Podlaskie Voivodeship",22.7586308,54.1911805
